,SBI Mutual Fund,Tata Mutual Fund ,UTI Mutual Fund ,Aditya Birla Sun Life Mutual Fund ,ICICI Prudential Mutual Fund ,HDFC Mutual Fund,Sundaram Mutual Fund
0,-0.00571034044368,-0.0547785265767,-0.0323164848906,,-0.0135965712385,,
1,-0.008098970254,-0.0627987468858,-0.0033058000151,,-0.012482719571,,
2,-0.0396201153327,0.00346923413837,-0.014305300023,,-0.0024778032576,,
3,0.0832011955303,0.0705580128007,-0.000239558135912,,0.0896803762672,,
4,0.0284593814438,-0.012148673693,0.0360787430373,,0.0285894094903,,
5,0.00911902056171,0.0940772120804,0.116382592729,,0.137159179015,0.0,
6,0.143555549007,0.111501526152,0.127178862796,,0.12137814174,0.023293288519,
7,0.0769183506946,0.0575746147854,0.075064848458,0.000508378578814,0.0698727473103,0.0452691290797,
8,0.0888543738983,0.017589936497,0.0823688510036,0.0291228763907,-0.00110900503007,0.00389462116277,
9,0.00585325586716,-0.0366894033793,-0.0960067598097,-0.0124604440797,-0.0423894289394,-0.0841096837826,
10,-0.0943273706968,0.0212582897764,0.00843807141955,0.0105850295057,0.00497857462884,-0.0120435701923,
11,-0.0348409829186,-0.0265722882376,-0.03262010608,-0.00627692635294,-0.0181717987013,-0.0353704560834,
12,-0.0446510423898,-0.0673117795171,-0.0917846761362,-0.0162937767499,-0.0665682097339,-0.133772384411,
13,0.075843302433,0.0236283141708,0.0111746089438,0.0405794692858,0.0735966926193,0.0190593512069,
14,0.0843468842163,0.09495859638,0.0913275569317,0.0790399553225,0.107783323159,0.0841064012035,
15,-0.0721985721221,-0.0226417658632,-0.0257206399148,-0.0193844477561,-0.0123831765391,-0.019617745183,
16,0.030952729531,0.00081240121479,0.0416176957029,0.00813803867109,0.0205579750375,0.00669883534705,0.0512676006766
17,0.0804449729956,0.0351152447677,0.022945441075,0.0365935588572,0.0620876231974,0.0170314948945,0.067292205033
18,0.0494614326211,0.0539253799727,0.0420785987315,0.00861192202527,0.0607306565793,0.0367011198127,0.045354648314
19,0.0332954115471,0.0391893924886,0.0532626889731,-0.00722482836418,0.055494386662,0.0382372014135,0.0499862000565
